# 参考词库
# 格式：名称|描述|分类

[常用术语]
知道了|好的|网络语
知道了|可以|网络语
明白|知道|网络语
明白|收到|网络语
明白|OK|网络语
明白|好的|网络语
明白|可以|网络语
懂的都懂|了解|网络语
懂的都懂|明白|网络语
懂的都懂|知道|网络语
懂的都懂|理解|网络语
懂的都懂|懂|网络语
懂的都懂|不言而喻|网络语
懂的都懂|无需多说|网络语
懂的都懂|心照不宣|网络语
懂的都懂|明白|网络语
懂的都懂|知道|网络语
懂的都懂|理解|网络语
懂的都懂|懂|网络语
懂|明白|网络语
懂|知道|网络语
懂|理解|网络语
懂|了解|网络语
懂|清楚|网络语
了解|懂|网络语
了解|明白|网络语
了解|知道|网络语
了解|清楚|网络语
了解|理解|网络语
了解|懂得|网络语
理解|懂|网络语
理解|了解|网络语
理解|明白|网络语
理解|知道|网络语
理解|清楚|网络语
理解|懂得|网络语
清楚|明白|网络语
清楚|懂|网络语
清楚|了解|网络语
清楚|知道|网络语
清楚|理解|网络语
清楚|懂得|网络语
知道|明白|网络语
知道|懂|网络语
知道|了解|网络语
知道|清楚|网络语
知道|理解|网络语
知道|懂得|网络语
懂得|明白|网络语
懂得|懂|网络语
懂得|了解|网络语
懂得|清楚|网络语
懂得|知道|网络语
懂得|理解|网络语
污|色情|网络语
污|黄|网络语
污|黄色|网络语
污|成人|网络语
污|性感|网络语
污|18禁|网络语
污|限制级|网络语
黄|色情|网络语
黄|成人|网络语
黄|黄色|网络语
黄|18禁|网络语
黄|限制级|网络语
黄|污|网络语
黄|色情|网络语
黄色|色情|网络语
黄色|黄|网络语
黄色|成人|网络语
黄色|18禁|网络语
黄色|限制级|网络语
黄色|污|网络语
色情|污|网络语
色情|黄|网络语
色情|黄色|网络语
色情|成人|网络语
色情|18禁|网络语
色情|限制级|网络语
成人|污|网络语
成人|黄|网络语
成人|色情|网络语
成人|黄色|网络语
成人|18禁|网络语
成人|限制级|网络语
18禁|污|网络语
18禁|黄|网络语
18禁|色情|网络语
18禁|黄色|网络语
18禁|成人|网络语
18禁|限制级|网络语
限制级|污|网络语
限制级|黄|网络语
限制级|色情|网络语
限制级|黄色|网络语
限制级|成人|网络语
限制级|18禁|网络语
好污|很污|网络语
好污|很黄|网络语
好污|很色情|网络语
好污|很成人|网络语
好污|很18禁|网络语
好污|很限制级|网络语
好黄|很黄|网络语
好黄|很污|网络语
好黄|很色情|网络语
好黄|很成人|网络语
好黄|很18禁|网络语
好色情|很色情|网络语
好色情|很污|网络语
好色情|很黄|网络语
好色情|很成人|网络语
好色情|很18禁|网络语
太污了|太黄|网络语
太污了|太色情|网络语
太污了|太成人|网络语
太污了|太18禁|网络语
太污了|太限制级|网络语
太黄了|太污|网络语
太黄了|太色情|网络语
太黄了|太成人|网络语
太黄了|太18禁|网络语
太色情|太污|网络语
太色情|太黄|网络语
太色情|太成人|网络语
太色情|太18禁|网络语
太成人|太污|网络语
太成人|太黄|网络语
太成人|太色情|网络语
太成人|太18禁|网络语
太18禁|太污|网络语
太18禁|太黄|网络语
太18禁|太色情|网络语
太18禁|太成人|网络语
太限制级|太污|网络语
太限制级|太黄|网络语
太限制级|太色情|网络语
太限制级|太成人|网络语
太限制级|太18禁|网络语
不污|不黄|网络语
不污|不色情|网络语
不污|不成人|网络语
不污|不18禁|网络语
不污|不限制级|网络语
不黄|不污|网络语
不黄|不色情|网络语
不黄|不成人|网络语
不黄|不18禁|网络语
不色情|不污|网络语
不色情|不黄|网络语
不色情|不成人|网络语
不色情|不18禁|网络语
不成人|不污|网络语
不成人|不黄|网络语
不成人|不色情|网络语
不成人|不18禁|网络语
不18禁|不污|网络语
不18禁|不黄|网络语
不18禁|不色情|网络语
不18禁|不成人|网络语
不限制级|不污|网络语
不限制级|不黄|网络语
不限制级|不色情|网络语
不限制级|不成人|网络语
不限制级|不18禁|网络语
单纯|纯洁|网络语
单纯|简单|网络语
单纯|天真|网络语
单纯|纯真|网络语
单纯|纯粹|网络语
纯洁|单纯|网络语
纯洁|纯真|网络语
纯洁|天真|网络语
纯洁|简单|网络语
纯洁|纯粹|网络语
纯真|单纯|网络语
纯真|纯洁|网络语
纯真|天真|网络语
纯真|简单|网络语
纯真|纯粹|网络语
天真|单纯|网络语
天真|纯洁|网络语
天真|纯真|网络语
天真|简单|网络语
天真|纯粹|网络语
简单|单纯|网络语
简单|纯洁|网络语
简单|纯真|网络语
简单|天真|网络语
简单|纯粹|网络语
纯粹|单纯|网络语
纯粹|纯洁|网络语
纯粹|纯真|网络语
纯粹|天真|网络语
纯粹|简单|网络语
小白兔|单纯|网络语
小白兔|纯洁|网络语
小白兔|天真|网络语
小白兔|纯真|网络语
小白兔|简单|网络语
白莲花|纯洁|网络语
白莲花|单纯|网络语
白莲花|假装纯洁|网络语
白莲花|绿茶|网络语
绿茶|心机|网络语
绿茶|虚伪|网络语
绿茶|心机女|网络语
绿茶婊|心机女|网络语
绿茶婊|虚伪|网络语
心机|心机女|网络语
心机|有心机|网络语
心机|心机重|网络语
心机婊|心机女|网络语
心机婊|虚伪|网络语
心机婊|绿茶|网络语
心机婊|心机|网络语
心机重|心机|网络语
心机重|心机女|网络语
婊|虚伪|网络语
婊|绿茶|网络语
婊|心机|网络语
婊|心机女|网络语
婊|白莲花|网络语
婊子|虚伪|网络语
婊子|绿茶|网络语
婊子|心机|网络语
婊子|心机女|网络语
婊子|白莲花|网络语
圣母|假装高尚|网络语
圣母|白莲花|网络语
圣母|绿茶|网络语
圣母|心机|网络语
圣母|虚伪|网络语
白莲花|假装纯洁|网络语
白莲花|圣母|网络语
白莲花|绿茶|网络语
白莲花|心机|网络语
白莲花|虚伪|网络语
绿茶|心机女|网络语
绿茶|白莲花|网络语
绿茶|圣母|网络语
绿茶婊|心机婊|网络语
绿茶婊|白莲花|网络语
绿茶婊|圣母|网络语
绿茶婊|虚伪|网络语
心机女|绿茶|网络语
心机女|白莲花|网络语
心机女|圣母|网络语
心机女|虚伪|网络语
心机婊|绿茶|网络语
心机婊|白莲花|网络语
心机婊|圣母|网络语
心机婊|虚伪|网络语
心机婊|心机女|网络语
虚伪|绿茶|网络语
虚伪|白莲花|网络语
虚伪|圣母|网络语
虚伪|心机|网络语
虚伪|心机女|网络语
虚伪|心机婊|网络语
虚伪|婊|网络语
虚伪|婊子|网络语

[形容词]
淫荡|放荡|形容词
淫乱|性混乱|形容词
骚浪|性感开放|形容词
骚气|性感|形容词
性感|有魅力|形容词
火辣|性感|形容词
撩人|吸引人|形容词
勾人|吸引人|形容词
魅惑|迷人|形容词
妖媚|美丽动人|形容词
骚媚|性感迷人|形容词
浪荡|放荡|形容词
淫逸|淫乱|形容词
荒淫|放纵|形容词
好色|好色|形容词
好淫|好色|形容词
贪色|好色|形容词
好色|喜爱女色|形容词
好色|贪恋美色|形容词
色迷迷|贪婪眼神|形容词
色眯眯|贪婪眼神|形容词
饥渴|急需满足|形容词
欲求不满|不满足|形容词
骚货|性感女性|形容词
浪货|开放女性|形容词
淫娃|性感女性|形容词
骚妇|性感女性|形容词
风情|有魅力|形容词
万种风情|很有魅力|形容词
风骚|性感|形容词
风骚|打扮时髦|形容词
狐狸精|迷人|形容词
狐狸精|勾引男性|形容词
小妖精|可爱迷人|形容词
小妖精|调皮可爱|形容词
磨人|可爱调皮|形容词
迷人|吸引人|形容词
魅惑|迷人|形容词
勾魂|迷人|形容词
勾魂|吸引|形容词
放电|有魅力|形容词
放电|发送魅力|形容词
撩人|吸引人|形容词
撩人|挑逗|形容词
勾人|吸引人|形容词
勾人|迷人|形容词
诱惑|吸引人|形容词
勾引|吸引|形容词
勾引|引诱|形容词
骚浪|性感开放|形容词
浪骚|性感开放|形容词
淫浪|性感开放|形容词
骚浪贱|性感开放|形容词
浪荡|放荡|形容词
浪荡|性开放|形容词
淫荡|放荡|形容词
淫乱|性混乱|形容词
淫乱|性开放|形容词
荒淫|放纵|形容词
荒淫|淫乱|形容词
淫逸|淫乱|形容词
淫逸|放荡|形容词
荒淫无度|极度放纵|形容词
荒淫无度|淫乱|形容词
声色犬马|放纵|形容词
声色犬马|淫乱|形容词
灯红酒绿|放纵|形容词
纸醉金迷|沉迷|形容词
醉生梦死|沉迷|形容词
花天酒地|放纵|形容词
花天酒地|淫乱|形容词
寻欢作乐|放纵|形容词
寻欢作乐|淫乱|形容词
偷香窃玉|勾引|形容词
偷香窃玉|调情|形容词
拈花惹草|勾引|形容词
拈花惹草|花心|形容词
招蜂引蝶|吸引|形容词
招蜂引蝶|勾引|形容词
水性杨花|花心|形容词
水性杨花|不忠诚|形容词
朝三暮四|花心|形容词
朝三暮四|不忠诚|形容词
见异思迁|花心|形容词
见异思迁|不忠诚|形容词
喜新厌旧|花心|形容词
喜新厌旧|不忠诚|形容词
始乱终弃|不忠诚|形容词
始乱终弃|抛弃|形容词
轻薄|轻浮|形容词
轻薄|不庄重|形容词
轻浮|不庄重|形容词
轻挑|轻浮|形容词
轻挑|不稳重|形容词
不稳重|轻浮|形容词
不稳重|不庄重|形容词
不检点|不庄重|形容词
不检点|行为不端|形容词
不守规矩|不检点|形容词
不守妇道|不忠诚|形容词
不守妇道|已婚女性|形容词
不安于室|已婚女性|形容词
红杏出墙|已婚女性出轨|形容词
红杏出墙|出轨|形容词
不安分|不守规矩|形容词
不安分|调皮|形容词
骚|性感|形容词
骚|开放|形容词
骚|风骚|形容词
浪|开放|形容词
浪|性感|形容词
浪|性开放|形容词
骚货|性感女性|形容词
浪货|开放女性|形容词
淫娃|性感女性|形容词
骚妇|性感女性|形容词
骚娘们|风骚女性|形容词
浪妇|开放女性|形容词
浪女|未婚开放女性|形容词
狐狸精|迷人女性|形容词
狐狸精|勾引男性|形容词
小妖精|可爱迷人|形容词
勾魂小妖精|极度迷人|形容词
磨人小妖精|可爱迷人|形容词
勾魂夺魄|极度迷人|形容词
勾魂摄魄|极度迷人|形容词
魅惑众生|极度迷人|形容词
颠倒众生|极度迷人|形容词
风情万种|很有风情|形容词
千娇百媚|美丽动人|形容词
仪态万方|美丽姿态|形容词
万种风情|很多魅力|形容词
百媚千娇|美丽动人|形容词
楚楚动人|惹人怜爱|形容词
我见犹怜|令人怜爱|形容词
小鸟依人|可爱依赖|形容词
千姿百态|姿态多样|形容词
风情万种|有魅力|形容词
骚首弄姿|卖弄风情|形容词
卖弄风情|展现魅力|形容词
卖弄风骚|展现性感|形容词
春光外泄|暴露|形容词
春光外泄|走光|形容词
玉体横陈|裸体|形容词
玉体横陈|横卧|形容词
横陈|横卧|形容词
玉体|美丽身体|形容词
冰肌玉骨|美丽肌肤|形容词
冰肌玉骨|洁白|形容词
肤若凝脂|美丽肌肤|形容词
肤如凝脂|美丽肌肤|形容词
肤如凝脂|洁白|形容词
肌肤胜雪|洁白肌肤|形容词
肌肤胜雪|美白|形容词
吹弹可破|肌肤娇嫩|形容词
吹弹可破|细嫩|形容词
细皮嫩肉|肌肤细嫩|形容词
细皮嫩肉|细嫩|形容词
肉感|有肉感|形容词
肉感|丰满|形容词
丰满|身材|形容词
丰满|圆润|形容词
性感|有魅力|形容词
性感|有吸引力|形容词
火辣|性感|形容词
火辣|性感|形容词
辣|性感|形容词
辣|有魅力|形容词
迷人|令人着迷|形容词
诱人|吸引人|形容词
诱人|性感|形容词
勾人|吸引人|形容词
勾魂|吸引人|形容词
魅力四射|很有魅力|形容词
魅力无限|很有魅力|形容词
魅力|吸引力|形容词
吸引力|魅力|形容词
吸引力|魅惑|形容词
魅惑|迷惑|形容词
魅惑|迷人|形容词
迷惑|吸引|形容词
迷人|吸引人|形容词
着迷|被吸引|形容词
沉迷|专注|形容词
沉迷|迷恋|形容词
迷恋|喜欢|形容词
喜爱|喜欢|形容词
爱慕|喜欢|形容词
爱慕|欣赏|形容词
倾心|喜欢|形容词
倾心|爱上|形容词
心仪|喜欢|形容词
心仪|中意|形容词
中意|喜欢|形容词
喜欢|喜爱|形容词
好感|喜欢|形容词
好感|印象好|形容词
有意思|有趣|形容词
有意思|有趣|形容词
有趣|有意思|形容词
有趣|好玩|形容词
好玩|有趣|形容词
好玩|有趣|形容词
有意思|感兴趣|形容词
感兴趣|有兴趣|形容词
有意思|感兴趣|形容词
有兴趣|感兴趣|形容词
有兴趣|有意|形容词
有意|有想法|形容词
有想法|有意|形容词
有企图|有目的|形容词
有企图|有图谋|形容词
有目的|有企图|形容词
图谋|企图|形容词
打主意|有企图|形容词
打主意|有想法|形容词
打小算盘|有企图|形容词
有小九九|有想法|形容词
小心思|想法|形容词
小算盘|想法|形容词
鬼主意|想法|形容词
鬼主意|主意|形容词
馊主意|坏主意|形容词
坏主意|不好|形容词
歪主意|坏主意|形容词
歪|不正|形容词
歪|错误|形容词
不正|歪|形容词
不正|不正确|形容词
歪门邪道|不正当|形容词
歪门邪道|邪道|形容词
邪门|不正当|形容词
邪门|不正常|形容词
邪乎|不正常|形容词
邪乎|邪门|形容词
邪性|不正常|形容词
邪性|邪恶|形容词
邪恶|坏|形容词
邪恶|不正派|形容词
邪恶|邪恶|形容词
坏|不好|形容词
坏|恶劣|形容词
不好|差|形容词
不好|不行|形容词
差|不好|形容词
差|糟糕|形容词
糟糕|不好|形容词
糟糕|很差|形容词
烂|差|形容词
烂|糟糕|形容词
差劲|不好|形容词
差劲|不行|形容词
不行|不好|形容词
不行|不可以|形容词
不可以|不行|形容词
不可以|不能|形容词
不能|不行|形容词
不能|不可以|形容词
不可以|不允许|形容词
不允许|禁止|形容词
禁止|不允许|形容词
不允许|不同意|形容词
不同意|不答应|形容词
不答应|不同意|形容词
不答应|拒绝|形容词
拒绝|不同意|形容词
拒绝|不接受|形容词
不接受|拒绝|形容词
不接受|不同意|形容词
不同意|不赞|形容词
不赞|不同意|形容词
不赞成|不同意|形容词
不赞成|反对|形容词
反对|不同意|形容词
反对|不赞成|形容词
不同意|不赞|形容词
不同意|不赞|形容词
不赞|不认可|形容词
不认可|不同意|形容词
不认可|不赞成|形容词
不认同|不同意|形容词
不认同|不认可|形容词
不认同|反对|形容词
不认同|不赞|形容词
不认同|不同意|形容词
不感冒|不感兴趣|形容词
不感兴趣|没兴趣|形容词
没兴趣|不感兴趣|形容词
没兴趣|不感冒|形容词
不感兴趣|不喜欢|形容词
不喜欢|不感兴趣|形容词
不喜欢|讨厌|形容词
讨厌|不喜欢|形容词
讨厌|厌恶|形容词
厌恶|讨厌|形容词
厌恶|反感|形容词
反感|讨厌|形容词
反感|厌恶|形容词
恶心|讨厌|形容词
恶心|厌恶|形容词
恶心|不舒服|形容词
不舒服|不适|形容词
不适|不舒服|形容词
不适|难受|形容词
难受|不舒服|形容词
难受|痛苦|形容词
痛苦|难受|形容词
痛苦|悲伤|形容词
悲伤|难过|形容词
难过|伤心|形容词
伤心|难过|形容词
难过|痛苦|形容词
难受|痛苦|形容词
难受|不舒服|形容词
不舒服|不适|形容词
不爽|不舒服|形容词
不爽|不满意|形容词
不满意|不舒服|形容词
不满意|不愿意|形容词
不愿意|不满意|形容词
不愿意|不肯|形容词
不肯|不愿意|形容词
不肯|不同意|形容词
不同意|不肯|形容词
不同意|不乐意|形容词
不乐意|不愿意|形容词
不乐意|不同意|形容词
不乐意|不愿意|形容词
不情愿|不愿意|形容词
不情愿|不甘心|形容词
不甘心|不愿意|形容词
不甘心|不满意|形容词
不甘心|不情愿|形容词
不满意|不满足|形容词
不满足|不满意|形容词
不满足|不够|形容词
不够|不足|形容词
不足|不够|形容词
不足|缺乏|形容词
缺乏|不足|形容词
缺少|不足|形容词
缺少|缺乏|形容词
稀缺|缺乏|形容词
稀缺|稀少|形容词
稀少|稀缺|形容词
罕见|稀少|形容词
罕见|稀罕|形容词
稀罕|罕见|形容词
稀罕|珍贵|形容词
珍贵|宝贵|形容词
宝贵|珍贵|形容词
宝贵|重要|形容词
重要|宝贵|形容词
重要|关键|形容词
关键|重要|形容词
关键|主要|形容词
主要|重要|形容词
主要|重要|形容词
重要|主要|形容词
重要|主要|形容词
主要|关键|形容词
主要|重要|形容词
核心|重要|形容词
核心|关键|形容词
核心|主要|形容词
核心|重要|形容词
重要|核心|形容词
重要|关键|形容词
关键|核心|形容词
关键|重要|形容词
要点|重点|形容词
要点|核心|形容词
重点|要点|形容词
重点|核心|形容词
重点|主要|形容词
要点|重要|形容词
要点|关键|形容词
重要|要点|形容词
重要|重点|形容词
关键|要点|形容词
关键|重点|形容词
主要|重点|形容词
主要|要点|形容词
主要|核心|形容词
主要|关键|形容词
核心|要点|形容词
核心|重点|形容词
重要|核心|形容词
重要|主要|形容词
重要|关键|形容词
关键|核心|形容词
关键|重要|形容词
要点|关键|形容词
要点|重要|形容词
重点|关键|形容词
重点|重要|形容词
重点|主要|形容词
要点|主要|形容词
要点|重要|形容词
重要|要点|形容词
重要|重点|形容词
重要|关键|形容词
重要|主要|形容词
重要|核心|形容词
重要|要点|形容词
关键|要点|形容词
关键|重点|形容词
关键|主要|形容词
关键|核心|形容词
主要|关键|形容词
主要|重点|形容词
主要|要点|形容词
主要|核心|形容词
核心|关键|形容词
核心|主要|形容词
核心|重点|形容词
核心|要点|形容词
要点|核心|形容词
要点|关键|形容词
要点|主要|形容词
重点|核心|形容词
重点|关键|形容词
重点|主要|形容词
重点|要点|形容词
重要|要点|形容词
重要|重点|形容词
重要|关键|形容词
重要|主要|形容词
重要|核心|形容词
重要|要点|形容词
重要|重点|形容词
重要|关键|形容词
重要|主要|形容词
重要|核心|形容词
重要|要点|形容词
重要|重点|形容词
重要|关键|形容词
重要|主要|形容词
重要|核心|形容词
